"EntityLogicalName","EntityDisplayName","EntitySetName","Ownership","AttributesCount","UsedInApp","UsageCount","UsageFiles"
"role","Rol de seguridad",,,"0","True","32","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_campanas_form43214AE8-D694-F011-B41C-7CED8D15A5A6; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_litoclean_script12987521-CA94-F011-B4CC-7CED8D15A5A6; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_incidencias5A094CBE-D3AD-F011-BBD2-7CED8D8D2727; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_CrearEquiposEnCampania-D10AB166-83AB-F011-BBD2-7CED8D8D2727.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_CrearEquiposEnProyecto-35A05F44-53A5-F011-BBD2-7CED8D8D2727.json"
"sharepointdocumentlocation","Ubicación de documentos","sharepointdocumentlocations","UserOwned","1","True","16","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL-Flujo-BibliotecaProyecto-C81104BD-0C94-F011-B4CC-7CED8D15A5A6.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL-Flujo-CarpetaCampana-168A9033-AB94-F011-B4CC-7CED8D15A5A6.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL-Flujo-Manual-BibliotecaProyecto-3FE2E394-1394-F011-B4CC-7CED8D15A5A6.json"
"systemuser","Lito-Gl-Usuarios","systemusers","BusinessOwned","2","True","26","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_campanas_form43214AE8-D694-F011-B41C-7CED8D15A5A6; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_incidencias5A094CBE-D3AD-F011-BBD2-7CED8D8D2727; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_ColaboradoresCampania-4EF285AE-8CAB-F011-BBD2-7CED8D8D2727.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_ColaboradoresProyecto-A7817604-E0A7-F011-BBD2-7CED8D8D2727.json"
"team","Equipo","teams","BusinessOwned","5","True","63","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_campanas_form43214AE8-D694-F011-B41C-7CED8D15A5A6; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_clone_campanias.js; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_incidencias5A094CBE-D3AD-F011-BBD2-7CED8D8D2727; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_ColaboradoresCampania-4EF285AE-8CAB-F011-BBD2-7CED8D8D2727.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_ColaboradoresProyecto-A7817604-E0A7-F011-BBD2-7CED8D8D2727.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_CrearEquiposEnCampania-D10AB166-83AB-F011-BBD2-7CED8D8D2727.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_CrearEquiposEnProyecto-35A05F44-53A5-F011-BBD2-7CED8D8D2727.json"
"tema_lito_gl_fp_campana","Lito_GL_fp_campaña","tema_lito_gl_fp_campanas","OrgOwned","26","True","5","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Formulas\tema_lito_gl_fp_campana-bpf_duration.xaml"
"tema_lito_gl_matriz","Lito_Gl_Matriz","tema_lito_gl_matrizs","UserOwned","19","False","0",""
"tema_litogl_tc_laboratorio","Lito-Gl_tc_Laboratorio","tema_litogl_tc_laboratorios","UserOwned","29","True","21","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_campanas_form43214AE8-D694-F011-B41C-7CED8D15A5A6; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_litoclean_homepague0EA721D5-C994-F011-B4CC-7CED8D15A5A6; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_paquetes_formE92A5A66-90A0-F011-BBD2-7CED8D8D2727; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_solicitud_form68A5DC7A-90A0-F011-BBD2-7CED8D8D2727; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL-Flujo-CarpetaLaboratorio-38709192-01A3-F011-BBD2-7CED8D8D2727.json"
"tema_litogl_tc_proyectos","Lito-Gl_tc_Proyectos","tema_litogl_tc_proyectoses","UserOwned","22","True","26","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_campanas_form43214AE8-D694-F011-B41C-7CED8D15A5A6; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_litoclean_homepague0EA721D5-C994-F011-B4CC-7CED8D15A5A6; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_campana_equipo_formB7EAE728-90A0-F011-BBD2-7CED8D8D2727; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL-Flujo-BibliotecaProyecto-C81104BD-0C94-F011-B4CC-7CED8D15A5A6.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL-Flujo-CarpetaCampana-168A9033-AB94-F011-B4CC-7CED8D15A5A6.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_CrearEquiposEnProyecto-35A05F44-53A5-F011-BBD2-7CED8D8D2727.json"
"tema_litogl_tp_campaniasanalitica","Lito-Gl-Campaña-Analitica","tema_litogl_tp_campaniasanaliticas","UserOwned","85","True","86","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\README_clone_campanias.md; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_campanas_form43214AE8-D694-F011-B41C-7CED8D15A5A6; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_clone_campanias.js; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_litoclean_homepague0EA721D5-C994-F011-B4CC-7CED8D15A5A6; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_campana_equipo_formB7EAE728-90A0-F011-BBD2-7CED8D8D2727; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_incidencias5A094CBE-D3AD-F011-BBD2-7CED8D8D2727; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_paquetes_formE92A5A66-90A0-F011-BBD2-7CED8D8D2727; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_solicitud_form68A5DC7A-90A0-F011-BBD2-7CED8D8D2727; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL-Flujo-CarpetaCampana-168A9033-AB94-F011-B4CC-7CED8D15A5A6.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_CrearEquiposEnCampania-D10AB166-83AB-F011-BBD2-7CED8D8D2727.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito_GL_fp_campaa-E1656C64-2C93-F011-B4CC-7CED8D15A5A6.xaml; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\appactions\tema__Clonar!bbe59c66be6b4da6a850868c4b567c18!tema_LitoGlGestionLaboratorios!tema_litogl_tp_campaniasanalitica!1\appaction.xml; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\appactions\tema__DesbloquearEtapas!9f0833dbcc0e4227ae3dd6e02cabc733!tema_LitoGlGestionLaboratorios!tema_litogl_tp_campaniasanalitica!0\appaction.xml; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\appactions\tema__Mscrm.Form.%7B!EntityLogicalName%7D.Activate!tema_LitoGlGestionLaboratorios!tema_litogl_tp_campaniasanalitica!0\appaction.xml; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\appactions\tema__Mscrm.Form.%7B!EntityLogicalName%7D.Close!tema_LitoGlGestionLaboratorios!tema_litogl_tp_campaniasanalitica!0\appaction.xml; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\appactions\tema__Mscrm.Form.%7B!EntityLogicalName%7D.Deactivate!tema_LitoGlGestionLaboratorios!tema_litogl_tp_campaniasanalitica!0\appaction.xml; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\appactions\tema__Mscrm.Form.%7B!EntityLogicalName%7D.OpenActiveStage!tema_LitoGlGestionLaboratorios!tema_litogl_tp_campaniasanalitica!0\appaction.xml; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\appactions\tema__Mscrm.Form.%7B!EntityLogicalName%7D.SaveAsComplete!tema_LitoGlGestionLaboratorios!tema_litogl_tp_campaniasanalitica!0\appaction.xml; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\appactions\tema__msdyn_Mscrm.Form.Copilot.Summarize!tema_LitoGlGestionLaboratorios!tema_litogl_tp_campaniasanalitica!0\appaction.xml"
"tema_litoglcampanaejecucion","Lito-Gl-Campaña-Ejecucion","tema_litoglcampanaejecucions","UserOwned","28","False","0",""
"tema_litoglcampanaequipo","Lito-Gl-Campaña-Equipo","tema_litoglcampanaequipos","UserOwned","23","True","2","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_clone_campanias.js; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_ColaboradoresCampania-4EF285AE-8CAB-F011-BBD2-7CED8D8D2727.json"
"tema_litoglcampanaincidencias","Lito-Gl-Campaña-Incidencias","tema_litoglcampanaincidenciases","UserOwned","26","True","1","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_tema_litogl_ws_incidencias5A094CBE-D3AD-F011-BBD2-7CED8D8D2727"
"tema_litoglcampanapaquetes","Lito-Gl-Campaña-Paquetes","tema_litoglcampanapaqueteses","UserOwned","25","True","7","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_clone_campanias.js; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_litoclean_homepague0EA721D5-C994-F011-B4CC-7CED8D15A5A6"
"tema_litoglcampanaproformaslaboratorio","Lito-GL-Campaña-Proformas-Laboratorio","tema_litoglcampanaproformaslaboratorios","UserOwned","28","False","0",""
"tema_litoglcampanaprovisiones","Lito-GL-Campaña-Provision","tema_litoglcampanaprovisioneses","UserOwned","27","True","2","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_litoclean_homepague0EA721D5-C994-F011-B4CC-7CED8D15A5A6"
"tema_litoglcampanarecepcionmuestra","Lito-GL-Campaña-Recepcion-Muestra","tema_litoglcampanarecepcionmuestras","UserOwned","25","False","0",""
"tema_litoglcampanaresultadosanaliticos","Lito-GL-Campaña-Resultado-Analitico","tema_litoglcampanaresultadosanaliticoses","UserOwned","24","False","0",""
"tema_litoglcampanasolicitud","Lito-Gl-Campaña-Solicitud","tema_litoglcampanasolicituds","UserOwned","25","True","2","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_litoclean_homepague0EA721D5-C994-F011-B4CC-7CED8D15A5A6"
"tema_litoglcampanavalidacionanalitico","Lito-GL-Campaña-Validacion-Analitico","tema_litoglcampanavalidacionanaliticos","UserOwned","25","False","0",""
"tema_litoglclientes","Lito-Gl-Clientes","tema_litoglclienteses","UserOwned","29","False","0",""
"tema_litogldocumentoadjuntos","Lito-Gl-Documento-Adjuntos","tema_litogldocumentoadjuntoses","UserOwned","23","False","0",""
"tema_litogletaparesponsable","Lito-Gl-Etapa-Responsable","tema_litogletaparesponsables","UserOwned","21","False","0",""
"tema_litoglpaquetesanaliticos","Lito-Gl-Paquetes-Analíticos","tema_litoglpaquetesanaliticoses","UserOwned","25","True","3","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\WebResources\tema_litogl_ws_litoclean_homepague0EA721D5-C994-F011-B4CC-7CED8D15A5A6"
"tema_litoglperfilesusuario","Lito-Gl-Perfiles-Usuario","tema_litoglperfilesusuarios","UserOwned","24","False","0",""
"tema_litoglproyectoequipo","Lito-Gl-Proyecto-Equipo","tema_litoglproyectoequipos","UserOwned","21","True","2","C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_ColaboradoresCampania-4EF285AE-8CAB-F011-BBD2-7CED8D8D2727.json; C:\trabajos\Gestion Laboratorios\LitoGLTablas_1_0_0_11\Workflows\Lito-GL_Flu_ColaboradoresProyecto-A7817604-E0A7-F011-BBD2-7CED8D8D2727.json"
"tema_litogltipodocumento","Lito-Gl-Tipo-Documento","tema_litogltipodocumentos","UserOwned","20","False","0",""
